ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
150157,202510,503,352,151,534377.6,229226.84,763604.44
150160,202510,264,213,51,323349.84,77418.56,400768.40
150170,202510,5514,4056,1458,6164916.5,2216324.25,8381240.75
150172,202510,548,428,120,651236.05,182160.11,833396.16
150175,202510,79,53,26,80462.77,39469.4,119932.17
150178,202510,1170,850,320,1290367.35,485768.49,1776135.84
150180,202510,5052,2735,2317,4153380.76,3518751.29,7672132.05
150190,202510,584,447,137,678594.31,207972.32,886566.63
150195,202510,195,128,67,194309.42,101706.2,296015.62
150200,202510,283,175,108,265674.84,163944,429618.84
150210,202510,3809,2992,817,4548217.42,1240239.96,5788457.38
150215,202510,1223,797,426,1211429.15,646684.14,1858113.29
150220,202510,4693,3175,1518,4824340.22,2305869.28,7130209.50
150230,202510,1955,1572,383,2387974.04,581419.79,2969393.83
150240,202510,9923,5680,4243,8637871.79,6444026.2,15081897.99
150250,202510,57,46,11,69832.42,16699.35,86531.77
150260,202510,204,147,57,223150.42,86527.35,309677.77
150270,202510,2534,1679,855,2550290.47,1297894.55,3848185.02
150275,202510,688,484,204,734745.66,309675.7,1044421.36
150276,202510,156,71,85,107782.54,129030.63,236813.17
150277,202510,1105,519,586,787880.28,889564.23,1677444.51
150280,202510,279,265,14,402295.96,21253.47,423549.43
150285,202510,283,197,86,299054.96,130305.12,429360.08
150290,202510,1554,943,611,1433050.98,927510.93,2360561.91
150293,202510,1166,610,556,927551.04,844026.55,1771577.59
150295,202510,698,377,321,572320.43,487281.43,1059601.86
150300,202510,138,91,47,138142.81,71346.53,209489.34
150304,202510,305,206,99,314243.26,150285.59,464528.85
150307,202510,591,506,85,768150.31,129032.47,897182.78
150309,202510,849,634,215,962471.02,326373.47,1288844.49
150310,202510,382,270,112,409866.65,170018.5,579885.15
150320,202510,2328,1626,702,2474408.99,1065648.11,3540057.10
150330,202510,2519,1531,988,2330207.76,1499789.17,3829996.93
150340,202510,247,162,85,245923.46,129030.82,374954.28
150345,202510,783,469,314,711994.04,476664.16,1188658.20
150350,202510,640,541,99,824324.12,150286.41,974610.53
150360,202510,7849,5216,2633,7931790.93,3998445.62,11930236.55
150370,202510,954,683,271,1038443.76,411426.7,1449870.46
150375,202510,307,144,163,218597.21,247436.28,466033.49
150380,202510,1924,1338,586,2034201.89,891073.82,2925275.71
150390,202510,1224,804,420,1220558.3,640605.95,1861164.25
150400,202510,173,154,19,236818.44,28842,265660.44
150405,202510,2100,1396,704,2119184.4,1070197.06,3189381.46
150410,202510,120,80,40,121440.4,60720.2,182160.6
150420,202510,10388,6000,4388,9117944.81,6665723.76,15783668.57
150430,202510,822,533,289,809169.75,438721.44,1247891.19
150440,202510,650,427,223,648223.99,338516.35,986740.34
150442,202510,3080,1675,1405,2544256.73,2134329.39,4678586.12
150445,202510,808,594,214,901709.57,324853.1,1226562.67
150450,202510,204,162,42,245929.53,63760.68,309690.21
150460,202510,841,652,189,989782.3,286902.79,1276685.09
150470,202510,1648,1082,566,1644096.8,859201.91,2503298.71
150475,202510,454,373,81,566248.62,122963.08,689211.70
150480,202510,2142,1660,482,2521554.3,731692.83,3253247.13
150490,202510,660,435,225,663383.33,341551.3,1004934.63
150495,202510,467,384,83,584446.77,125994.31,710441.08
150497,202510,316,217,99,329415.4,150282,479697.4
150500,202510,396,240,156,364339.9,236812.52,601152.42
150503,202510,2178,1223,955,1856589.25,1449707.85,3306297.10
150506,202510,1308,948,360,1439115.21,546484.23,1985599.44
150510,202510,1819,1135,684,1724543.67,1038332.5,2762876.17
150520,202510,412,310,102,470584.45,154837,625421.45
150530,202510,3175,2173,1002,3298954.66,1521118.41,4820073.07
150540,202510,367,281,86,426566.76,130548.65,557115.41
150543,202510,1190,658,532,1000392.6,809101.24,1809493.84
150548,202510,677,507,170,769656.74,259580.24,1029236.98
150549,202510,78,62,16,94128.86,24288.91,118417.77
150550,202510,4214,2303,1911,3506774.03,2903982.81,6410756.84
150553,202510,5489,3344,2145,5085648.22,3259220.44,8344868.66
150555,202510,189,110,79,166981.75,119923.05,286904.80
150560,202510,176,122,54,185199.34,81972,267171.34
150563,202510,177,109,68,165471.74,103226.24,268697.98
150565,202510,333,227,106,344589.33,160908.6,505497.93
150570,202510,484,337,147,511576.25,223146.79,734723.04
150580,202510,2054,1177,877,1786728.53,1332808.79,3119537.32
150590,202510,1192,893,299,1355635.67,453887.87,1809523.54
150600,202510,676,484,192,736289.04,291464.85,1027753.89
150610,202510,287,221,66,335489.41,100190.05,435679.46
150611,202510,266,186,80,282356.15,121440.85,403797.00
150613,202510,4306,2460,1846,3746547.46,2802344.9,6548892.36
150616,202510,747,409,338,620875.92,513087.07,1133962.99
150618,202510,1728,910,818,1387471.82,1241725.86,2629197.68
150619,202510,587,471,116,715004.65,176093.15,891097.80
150620,202510,1805,1050,755,1595492.52,1147623.45,2743115.97
150630,202510,286,209,77,317286.6,116888.78,434175.38
150635,202510,670,365,305,554104.8,463000.08,1017104.88
150640,202510,60,35,25,53135.87,37951.79,91087.66
150650,202510,3059,1843,1216,2797881.68,1847473.35,4645355.03
150655,202510,385,292,93,443278.56,141174.6,584453.16
150658,202510,74,49,25,74382.91,37950.82,112333.73
150660,202510,866,557,309,845557.18,469069.39,1314626.57
150670,202510,1477,629,848,957892.97,1287437.59,2245330.56
150680,202510,16212,9765,6447,14839536.98,9797481.59,24637018.57
150690,202510,68,49,19,75904.8,28842,104746.8
150700,202510,803,581,222,882016.56,337008.16,1219024.72
150710,202510,391,268,123,406849.32,186717.69,593567.01
150715,202510,931,625,306,948862.73,464543.94,1413406.67
150720,202510,598,473,125,718032.32,189751.31,907783.63
150730,202510,1517,755,762,1147634.95,1158243.48,2305878.43
150740,202510,381,259,122,394685.9,185196.3,579882.2
150745,202510,1058,670,388,1018630.36,588995.26,1607625.62
150746,202510,94,49,45,74383.82,68310,142693.82
150747,202510,405,298,107,452398.11,162431.36,614829.47
150750,202510,136,102,34,154856.77,51615.42,206472.19
150760,202510,2585,1780,805,2705187.82,1223527.07,3928714.89
150770,202510,313,272,41,414433.73,62238.3,476672.03
150775,202510,134,79,55,119925.43,83490,203415.43
150780,202510,361,254,107,385577.15,162426.4,548003.55
150790,202510,847,536,311,813696.99,472102.83,1285799.82
150795,202510,2409,1622,787,2466812.02,1194675.26,3661487.28
150796,202510,314,197,117,299053.67,177607.83,476661.50
